Indonesia,Ternate,Makian,Galela
satu abad,taong ratu moi,,
dua abad,taong ratu romdidi,,
dia mengabaikan perintah guru,una u master ua guru na parenta,,
sebelum salat kita harus membersihkan diri,kalu sari sabea harus sigofi nadiri,,
rakyat mengabdi pada sultan,bala ge co'ou se kolano,,
sakit bapak abnormal,baba igogola tiyahi ua,,
guru itu selalu absen,guru una ge salalu uwosa ua,,
ngoko sungi ge dofu fika,jalan baru itu dofu fika,,
rumah itu catnya abu-abu,fala ge ma cet fika fika,,
main domino mesti acak-acak buahnya,toniru domeno ge musti siruwahe mamari,,
bikin acar musti pake cuka,gulaha acar musti pake cuka,,
siapa yang mengatur acar ini,nage yang fato acara ne,,
anak itu di panggil guru tapi dia tidak acuh,ngofa nagee guru kokaro,,
siapa yang tahu jawab angkat tangan,nage yang waro sango tede gia,,
tidak beradab,kama adaab ua,,
kadang kadang ada kadang kadang tidak,walosiyoko sema walosiyoko malo,,
ada rumah,sema fala,,
ada uang,sema pipi,,
dalam rumah itu adem sekali,toma fala ge madaha alo alo foloi,,
adik kandung,nongoru madihutu,,
adik tiri,nongor bau,,
jou fandi adalah admiral dewan kerajaan ternate,jou fandi ge kapita lau bobato kerajaan ternate,,
rumah itu alamatnya sulit,fala ge ma alamat susah,,
adu ayam,sitobele namo,,
jangan adu domba,afa simaku dutu,1,
mengaduk kue,siruahe mumami,,
anak itu dengar nasehat,ngofa una ge u-ise demo nasihat,,
advokad itu bayarannya mahal,fakrol ge mabubang hal,,
dibawah pohon pala itu banyak agas,toma gosora ma-adu de dofu gono,,
tidak beragama,kama agama ua,,
mereka semua orang beragama,ana ge moi moi mancia sema agama,,
masjid agung,sigi lamo,,
hari minggu,wange ahad,,
hari minggu anak sekolah libur,ahad mawange ngofa skolah frei,,
ia laki-laki seorang ahli sejarah,una ge u-ahli sejarah,,
mereka itu keluarga dekat kami,ana ge ngom madihutu,,
air liur,gidi gidi,,
air sumur,ake sum,,
menangis menggeluarakan air mata,ari ge ongo supu,,
air surut,nyare,,
air pasang,ngahe,,
air mata,ongo,,
keluar ketuban tanda akan melahirkan,tutuba supu ge sari bususu ma,,
sangat ajaib peristiwa itu,ajaib foloi kejadian ena ge,,
sebelum ajal bepantang mati,ajali hang ge sone ua,,
anak itu tidak tahu ajaran guru,ngofa una ge u waro ua guru nadodoto,,
kerjakanlah pekerjaan itu dengan akal ,gulaha munara ena ge sepake akal,,
bapak akan pergi kemana,baba sari tagi kasaa,,
akar pohon itu besar,hate ena ge mawutu lamo,,
sayur itu pakai akar kuning,una ena ge pake guraci,,
akar tunggang menancap ke dalam tanah,wutu kolano ge isitaji wosa toma kaha madaha,,
rapat akbar,rapat lamo,,
hidup kekal di akhirat,ahu kakali toma aherat,,
anak itu akhlaknya baik,ngofa una ge i-ahlak jang,,
orang beragama harus pertahankan akidah,mancia beragama musti coho akidah,,
saya laki-laki tidak setuju,fangare tonyiha ua,,
ia laki-laki kawan akrab saya ,uana ridagimoi laha,,
dulu banyak orang buta huruf,susira dofu mancia buta huruuf,,
buku saya laki-laki,fangare na''buku,,
mobil saya perempuan,fajaru na'oto,,
alam ini besar,alam ne lamo,,
alamat rumah,alamat fala,,
tidak ada halangan,kama halangan ua,,
kalau tidak ada halangan saya datang,kama halangan ua fangare tokado,,
kebun itu sudah penuh dengan alang-alang,gura ena ge i-oma se kusu kusu ma,,
pukul alaran,cako dolo-dolo,,
alas cangkir,kopi mahang,,
alat rumah,parkakas fala,,
alhasil sama saja,walhasil matero bato,,
almarhun abdullah orang baik,ayarham abdullah mancia malaha,,
tumbuk beras pakai alu,tutu bira se diso mangofa,,
negeri ini aman sekali,gam ne amaan foloi,,
jangan berdiri di ambang pintu,afa koko toma ngara ma'durure,,
anak itu ada ambeyen ,ngofa una ge sema tupuo,,
ambil buku,oro buku,,
rumah itu sudah ambruk,fala ena ge iwaho ma,,
jangan makan nasi yang sudah amis,afa oho bira yang hami raima,,
ampas kelapa,ogo mangoo,,
empat orang,mancia ngaraha,,
empat rumah,fala ngairaha,,
rumah saya dekat masjid,rifala seba toma sigi,,
gosok pakai amplas,ese pake kartas paser,,
obat itu ampuh,sou ena ge itomole,,
minta ampun,lahi ampong,,
orang itu mengamuk,mancia una ge umangamo,,
amunisi senapan,dopis senapang,,
saya mengancam bapaknya,fangare to sidehe ibaba,,
anemer abdullah yang bangun jembatan itu,anemer abdullah yang gulaha dodoku ena ge,,
anggrek banyak di halaman rumah itu,tabisasu ge dofu toma fala ge makintal,,
ia mengangguk tanda setuju,una utagacama mangale ustuju,,
angin bertiup kencang,kore mahoa futuru,,
anak itu angkuh,ngofa una ge utingkai,,
nagsa itu dibawa ke laut,gangsa ena ge ana gasa toma ngolo,,
nasi hangus,bira hoku,,
jangan menganiaya anak kecil,afa aniaya ngofa ici,,
anjing menggonggong,kaso kau,,
anjing makan ayam,kaso I-oho namo,,
beras itu banyak antahnya,bira ena ge ma'konga dofu,,
antar ibu ke pasar,kata yaya tagi butu,,
ibu membeli anting anting saya,yaya mu'fodi ringanti-nganti,,
tanah itu anugerah sultan,kaha ena ge cucatu jou kolano,,
makan apa,oho koa,,
kenapa,golokoa,,
apabila tidak ada halangan saya datang,kalu kama halangan ua fangato kado,,
apbila lulus pergi jakarta,kalo lulus tagi jakarta,,
onderdil mobil itu sudah afker,oto ma'parkakas ge afker ma,,
arah kemana,tujuan kasa,,
arang tempurung ,cafi ma'nong,,
arang kayu,hate ma'nong,,
ari-ari anak itu ditanam di belakang rumah,ngofa una ge ma'dodomi ana juju toma fala ma'dudu,,
arisan keluarga,jojobo ahli sedihutu,,
jam tangan,arlojia giya,,
jam dinding ,arloji fala,,
masakan itu aromanya enak,jurum ena ge majame saki,,
apa artinya,mangale koa,,
tahu artinya,waro mangale,,
arus menghanyutkan perahu,bao ge siruru oti,,
arwah orang itu gentayangan,una ge i-arwah pardidu,,
jangan putus asa,afa tola harapang,,
asah parang,nyifi peda,,
asah otak,ese otak,,
orang itu asal jawa,mancia nagee na-asal toma jawa,,
manga itu asam,guwae ge I'loloji,,
asap api,uku manyefo,,
asap rokok,tobako manyefo,,
asas hidup,ahu majojo,,
asbak rokok,tabako ma asbak,,
kuah itu asin,agi ge ituteo,,
ikan asin,nyao gasi,,
siram aspal di jalan,hodo ter toma ngoko,,
anak asuh,ngofa piara,,
atap rumah,fala ma katu,,
diatas meja,meja manyeku,,
diatas rumah,fala manyeku,,
dia atau saya,una bolo fangare,,
dia laki-laki atau saya laki-laki,una bolo fangare,,
atur surat surat,fato surat surat,,
dari awal sudah salah,toma awaal ge salah,,
orang awam saja,mancia biasa bato,,
awan tebal,kamo kamo kofiri,,
awas ada anjing,awas sema kaso,,
ayah kandung,baba madihutu,,
ayam jantan,namo nunau,,
ayam betina,namo fuheka,,
saya laki-laki,fangare,,
saya perempuan,fajaru ,,
dia laki-laki,una,,
dia perempuan,mina,,
anak itu sakit ayan ,ngofa una ge ugogola muru muru,,
mengayun bayi di ayunan,wigo ngofa toma bue bue,,
orang durhaka nanti dapat azab,mancia durhaka ge akan idero ajaab,,
dimasjid selalu ada azan,toma sigi salalu sema bang,,
orang beriman jangan pakai azimat,mancia beriman ge pake ajimat afa,,
rumah itu banyak babunya,fala ena ge  majongos dofu,,
ia laki-laki membaca buku,una ubaca buku,,
badai menghancurkan rumah-rumah di tepi pantai,rato ge siwaho fala fala toma ngolo mauru,,
badan besar,badang lamo,,
badan kecil,badang ici,,
kupas mangga pakai pisau,tim guwae se dari,,
kabar bagaimana,habar doka saa,,
bagea kenari,bagea nyiha,,
bagi uang,sibula pipi,,
bagi beras,sibula bira,,
baginda sultan ternate,jou kolano ternate,,
rumah bagus,fala jang,,
masuk rumah baru,wosa fala sungi,,
sudah dibahas,bahas raima,,
mereka membahas pilkada,ana ibahas pilkada,,
orang itu berbahaya,mancia nagee ubahaya,,
laut besar,ngolo lamo,,
laut dalam,ngolo ngido,,
banjir menghancurkan banyak rumah,guhi isiwaho fala dofu,,
bahu rata,kefe rata,,
ikan bakar,nyao osu,,
jagung bakar,tela osu,,
pisang bakar,koi osu,,
bakar rumah,congo fala,,
dapat bala,dero bahalaa,,
balai bambu,rosbang tabadiku,,
balik ke rumah,koreho toma fala,,
balik ke kantor,koreho toma kantor,,
gadis itu sudah baliq,ngofa fuheka mina ge mobalek ma,,
disini banyak jual balok,kenee dofu fuku balak,,
serumpun bambu,tabadiku ifu moi,,
kursi bambu,kursi tabadiku,,
ban mobil,oto maban,,
ban sepeda,fis maban,,
di toko banyak jual ban mobil,toma toko dofu ifuku oto maban,,
di salon itu banyak banci,toma salon ena ge dofu mancia pulia,,
sulamadaha ada bandar perahu ke hiri,toma sulamadaha sema bobane tagi hiri,,
anak itu bandel,ngofa una ge upahe,,
diternate sudah banyak bank,toma ternate bang dofu ma,,
orang itu sudah bangkrut,mancia nagee ufalit raima,,
bangun tidur,hotu mom,,
bangun rumah,sigoko fala,,
di soa sio banyak bangsawan,toma soa sio dofu turunan jou,,
banjir besar,guhi lamo,,
banjir yang menghancurkan banyak rumah,guhi isiwaho fala dofu,,
saling membantu,maku rio,,
bantu orang tua,rio nahimo himo,,
orang banyak,mancia dofu,,
uang banyak,pipi dofu,,
berbantah bantahan,maku teheng,,
bapak kandung,baba madihutu,,
bara api,uku maetu,,
baju baru,kameja sungi,,
mobil baru,oto sungi,,
basah hujan,busa besa,,
pakaian basah,pakeang besa,,
baskom adalah tempat kuah,safo ge agi madodai,,
membuat batako,gulaha tela semen,,
batang kelapa,igo mahate,,
batang pisang,koi mahate,,
di toko itu banyak jual kemeja batik,toma toko ena ge dofu ifuku baju batik,,
batin yang bersih,nyinga ofi,,
batin yang kotor,nyinga faja,,
batok kelapa,igo macafi,,
batu angus,mari hoku,,
beli batu,fodi mari,,
jual batu,fuku mari,,
batuk darah,kukehe au,,
dia perempuan batuk darah,mina mukukehe darah,,
bawa mobil,gasa oto,,
bawa jualan,gasa dola butu,,
di bawah meja,meja ma adu,,
di bawah pohon,hate ma adu,,
sayur bayam,uge baya,,
seperti ada bayangan lewat,doka sema gurumi ipasa ika,,
bayar hutang,fang nyagi,,
bayi itu banyak menangis,ngofa kiyau nagee u-ari dofu,,
main basket ,toniru basket,,
basmi minuman keras,simoi moi cap tikus,,
susun bata,sibere tela,,
batas kebun,gura mabati,,
batas tanah,kaha mabati,,
beban berat,gina haso,,
dia laki-laki bebas dari penjara,una ubebas toma bui ma,,
daging bebek halal ,bebe marehe ge halal,,
jalan itu banyak becek,ngoko ena ge dofu pece,,
perbedaan itu biasa,maku beda ge biasa ma,,
pakai bedak,pake pupur,,
pukul tifa,cako tifa,,
bedil panjang,senapang gila,,
begitulah nasibnya,dokage ma inasib,,
anak bejat,ngofa tingkai,,
di pasar banyak dijual pakaian bekas,toma butu dofu ifuku pakeang bakas,,
mayat itu sudah beku,mayat ena ge ifuletu ma,,
bela teman,rio dagimoi,,
bela orangtua,rio nahimo himo,,
belalang makan daun kelapa,boto boto i-oho igo marau,,
belanja buku,fodi buku,,
berbelanja,mafodi,,
saya iba lihat orang itu,fangare to kasiang mina una ge,,
bendera merah putih,bandera merah putih,,
menaikkan bendera,sibere bandera,,
menurunkan bendera,siguci bandera,,
bawa bekal,gasa dofoma,,
pergi jauh harus bawa bekal,tagi gudu musti gasa dofoma,,
tangan terbelenggu,gia dahe podiku,,
membelenggu,sipudiku,,
belok kanan ,perok gunyira,,
belok kiri,perok gubadi,,
belut goreng,sugili sinanga,,
berbenah untuk pindah rumah,madiahi sari pindah fala,,
benang putih,lae bubudo,,
marah sekali,setang foloi,,
dia marah kepada saya,una usetang fangare,,
di pohon itu banyak tumbuh benalu,toma hate ena ge dofu ahu pipi pipi,,
dia perempuan selalu bicara yang benar,mina ge usalalu bicara gou gou,,
bendung banjir dengan karung berisi pasir,fati guhi se kadu madaha dowoong,,
kayu bengkok,hate pedu,,
